,encrypted_user_id,title,date,location,department,amount,description
2782,0,Birth Certificate,2016-05-26 07:45:00+03:00,"Bangalore,Karnataka",Others,300,-
2783,0,PAID BRIBE FOR POLICE CLEARANCE,2016-05-25 10:50:00+03:00,"Bangalore,Karnataka",Police Verification for Passport,200,-
2784,0,Had to Pay Rs 2600 to change the vehicle registration to my name,2016-05-24 14:41:00+03:00,"Bangalore,Karnataka",Transfer of Vehicle Registration,2600,-
2785,0,Lost phone and Sim,2016-05-24 08:35:00+03:00,"Pune,Maharashtra",Lodging Police Complaint,100,-
2786,0,Take 1500 rupees without any challan.,2016-05-24 00:04:00+03:00,"Dausa,Rajasthan",False Allegations,1500,-
2787,0,PC pndt a big money making law for officials,2016-05-24 12:25:00+03:00,"Mysore,Karnataka",Procuring Medical Equipment/Medicines,15000,-
2788,0,Bribe taken by Clerk in JDA,2016-05-23 05:28:00+03:00,"Jaipur,Rajasthan",Registration of Partition Deed,2000,-
2789,0,"Rs. 2,500/- bribe is been demanded at Kidwai Memorial Hospital for Radiation Therapy",2016-05-23 20:13:00+03:00,"Bangalore,Karnataka",Medical Treatment,2500,-
2790,0,To get Marriage Certificate paid Bribe,2016-05-22 03:09:00+03:00,"Bangalore,Karnataka",Marriage Certificate,250,-
2791,0,People in excess than mentioned in the RC book,2016-05-22 08:29:00+03:00,"Mumbai,Maharashtra",Traffic Violations,150,-
2792,0,Pay bribe and collect your certificate!!!!! even if you have genune papers??,2016-05-20 16:54:00+03:00,"Bangalore,Karnataka",Caste Certificate,2000,-
2793,0,Paid to desk clerk name is not known.,2016-05-20 19:57:00+03:00,"Gandhidham,Gujarat",Family Certificate,2000,-
2794,0,Policemen extorting money from tea hawker,2016-05-19 13:47:00+03:00,"Bangalore,Karnataka",Police Harassment,200,-
2795,0,"BSNL corruption, useless authorities, no work done by officials",2016-05-19 01:12:00+03:00,"Lucknow,UttarPradesh",New internet connection,300,-
2796,0,Area SDO abused and his assistants ask for money before giving a connection,2016-05-19 23:50:00+03:00,"Lucknow,UttarPradesh",New internet connection,300,-
2797,0,Abcd i had done nothng bribe hello. ok hi fhi,2016-05-19 23:23:00+03:00,"Adari,UttarPradesh",Customs Check and Clearance,500,-
2798,0,Ther was an unpleasant feeling,2016-05-19 19:07:00+03:00,"Aluva,Kerala",Birth Certificate,120,-
2799,0,Software development company in Indore,2016-05-17 22:47:00+03:00,"Abohar,Punjab",Customs Check and Clearance,2000,-
2800,0,Auto-rickshaws are carry more people than allowed,2016-05-17 15:02:00+03:00,"Thane,Maharashtra",Autorickshaws,12,-
2801,0,Took money for fixng electric meter,2016-05-17 12:43:00+03:00,"Ahmedabad,Gujarat",Additional power for High Tension installations,500,-
2802,0,Child Passport Verificattion,2016-05-17 18:30:00+03:00,"Chilakaluripet,AndhraPradesh",Police Verification for Passport,1000,-
2803,0,Cost of sim which is free,2016-05-17 21:51:00+03:00,"Agra,UttarPradesh",Repair of Telephone or Internet Connection,100,-
2804,0,Beat Constable taken bribe,2016-05-16 06:36:00+03:00,"NewDelhi,Delhi",Police Harassment,1000,-
2805,0,Police harrasement for passport verification,2016-05-16 13:19:00+03:00,"Bangalore,Karnataka",Police Verification for Passport,105,-
2806,0,Bribe paid by NRI at Mumbai Airport Customs,2016-05-16 23:36:00+03:00,"Mumbai,Maharashtra",Immigration Check,4000,-
2807,0,Driving school fraud his nameis baruddin,2016-05-16 16:34:00+03:00,"Hyderabad,Telangana",New Domestic Driving License,6500,-
2808,0,MUMBAI CUSTOMS,2016-05-15 20:11:00+03:00,"Mumbai,Maharashtra",Customs,200000,-
2809,0,"Chandra layout PC hanumanthaiah used used excessive force,arrested you unlawfully",2016-05-14 15:53:00+03:00,"Bangalore,Karnataka",Police Harassment,500,-
2810,0,Driving Without NOC,2016-05-14 16:03:00+03:00,"Pune,Maharashtra",Traffic Violations,700,-
2811,0,Police passport verification,2016-05-13 16:53:00+03:00,"Noida,UttarPradesh",Police Verification for Passport,2000,-
2812,0,I paid bribde Rs.600 for Special Marriage Act,2016-05-13 15:39:00+03:00,"Tirunelveli,TamilNadu",Marriage Registration,600,-
2813,0,Taking money for no noc,2016-05-13 07:45:00+03:00,"Visakhapatnam,AndhraPradesh",Traffic Violations,700,-
2814,0,Three hundred rupees for someone's driving license,2016-05-13 21:36:00+03:00,"NewDelhi,Delhi",Traffic Violations,300,-
2815,0,Paid bribe of 600 Rs. to get issued Duplicate Birth Certificate,2016-05-13 20:08:00+03:00,"Karauli,Rajasthan",Birth Certificate,600,-
2816,0,Offices are opening demanding Bribe in Sub-Registrar office Bangalore,2016-12-05 16:20:00+03:00,"Bangalore,Karnataka",Registration of Flat or Apartment,3000,-
2817,0,Marriage Registration in Kormangla  BDA complex Paid Bride,2016-12-05 08:53:00+03:00,"Bangalore,Karnataka",Marriage Registration,500,-
2818,0,Paid a bribe of 1000 to get permanant driving license,2016-11-05 01:42:00+03:00,"NewDelhi,Delhi",Driving licence Process,1000,-
2819,0,Paid bribe at the marriage registrar office when they asked for it.,2016-11-05 10:46:00+03:00,"Bangalore,Karnataka",Marriage Registration,1700,-
2820,0,Bribe for not having PUC,2016-10-05 23:35:00+03:00,"NaviMumbai,Maharashtra",Fitness Certificate for Vehicles,300,-
2821,0,I Paid Rs. 1000 to Police in Bangalore.,2016-09-05 00:38:00+03:00,"Bangalore,Karnataka",Police Harassment,1000,-
2822,0,Policeman asked for bribe,2016-09-05 10:13:00+03:00,"Ghaziabad,UttarPradesh",Renewal of Passport,1100,-
2823,0,Corrupt Legal metrology department,2016-08-05 04:25:00+03:00,"Bangalore,Karnataka",Others,30000,-
2824,0,Corrupt Court Clerks,2016-07-05 11:16:00+03:00,"Bangalore,Karnataka",Unfair Legal Proceedings,8000,-
2825,0,Asking a Bribe and Misbehave with women,2016-07-05 08:04:00+03:00,"Mandya,Karnataka",PWD Officers,5000,-
2826,0,Corrupt court bench clerk in magistrate court Bangalore,2016-07-05 21:19:00+03:00,"Bangalore,Karnataka",Unfair Legal Proceedings,8000,-
2827,0,Have to pay bribe to a madam in Electricity dept.,2016-06-05 22:37:00+03:00,"Nanded,Maharashtra",New Connection for Houses,1,-
2828,0,Day robbers Don't need government salary.They get it as bribe.,2016-06-05 05:36:00+03:00,"Bangalore,Karnataka",Transformer Maintenance,8000,-
2829,0,Paid probe for parking vehicle in no parking area,2016-06-05 16:15:00+03:00,"Mumbai,Maharashtra",General RTO related,200,-
2830,0,Parking on Footpath,2016-06-05 21:33:00+03:00,"Pune,Maharashtra",Traffic Violations,200,-
